GEO.id,GEO.id2,GEO.display-label,HC02_VC02,HC03_VC02,HC05_VC02,HC06_VC02,HC02_VC03,HC03_VC03,HC05_VC03,HC06_VC03,HC02_VC04,HC03_VC04,HC05_VC04,HC06_VC04,HC02_VC05,HC03_VC05,HC05_VC05,HC06_VC05,HC02_VC06,HC03_VC06,HC05_VC06,HC06_VC06,HC02_VC07,HC03_VC07,HC05_VC07,HC06_VC07,HC02_VC08,HC03_VC08,HC05_VC08,HC06_VC08,HC02_VC09,HC03_VC09,HC05_VC09,HC06_VC09,HC02_VC10,HC03_VC10,HC05_VC10,HC06_VC10,HC02_VC12,HC03_VC12,HC05_VC12,HC06_VC12,HC02_VC13,HC03_VC13,HC05_VC13,HC06_VC13,HC02_VC14,HC03_VC14,HC05_VC14,HC06_VC14,HC02_VC15,HC03_VC15,HC05_VC15,HC06_VC15,HC02_VC16,HC03_VC16,HC05_VC16,HC06_VC16,HC02_VC17,HC03_VC17,HC05_VC17,HC06_VC17,HC02_VC18,HC03_VC18,HC05_VC18,HC06_VC18,HC02_VC19,HC03_VC19,HC05_VC19,HC06_VC19,HC02_VC20,HC03_VC20,HC05_VC20,HC06_VC20,HC02_VC21,HC03_VC21,HC05_VC21,HC06_VC21,HC02_VC22,HC03_VC22,HC05_VC22,HC06_VC22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Id,Id2,Geography,All ages - Number, RACE - Total population,All ages - Percent, RACE - Total population,18 years and over - Number, RACE - Total population,18 years and over - Percent, RACE - Total population,All ages - Number, RACE - Total population - One race,All ages - Percent, RACE - Total population - One race,18 years and over - Number, RACE - Total population - One race,18 years and over - Percent, RACE - Total population - One race,All ages - Number, RACE - Total population - One race - White,All ages - Percent, RACE - Total population - One race - White,18 years and over - Number, RACE - Total population - One race - White,18 years and over - Percent, RACE - Total population - One race - White,All ages - Number, RACE - Total population - One race - Black or African American,All ages - Percent, RACE - Total population - One race - Black or African American,18 years and over - Number, RACE - Total population - One race - Black or African American,18 years and over - Percent, RACE - Total population - One race - Black or African American,All ages - Number, RACE - Total population - One race - American Indian and Alaska Native,All ages - Percent, RACE - Total population - One race - American Indian and Alaska Native,18 years and over - Number, RACE - Total population - One race - American Indian and Alaska Native,18 years and over - Percent, RACE - Total population - One race - American Indian and Alaska Native,All ages - Number, RACE - Total population - One race - Asian,All ages - Percent, RACE - Total population - One race - Asian,18 years and over - Number, RACE - Total population - One race - Asian,18 years and over - Percent, RACE - Total population - One race - Asian,All ages - Number, RACE - Total population - One race - Native Hawaiian and Other Pacific Islander,All ages - Percent, RACE - Total population - One race - Native Hawaiian and Other Pacific Islander,18 years and over - Number, RACE - Total population - One race - Native Hawaiian and Other Pacific Islander,18 years and over - Percent, RACE - Total population - One race - Native Hawaiian and Other Pacific Islander,All ages - Number, RACE - Total population - One race - Some other race,All ages - Percent, RACE - Total population - One race - Some other race,18 years and over - Number, RACE - Total population - One race - Some other race,18 years and over - Percent, RACE - Total population - One race - Some other race,All ages - Number, RACE - Total population - Two or more races,All ages - Percent, RACE - Total population - Two or more races,18 years and over - Number, RACE - Total population - Two or more races,18 years and over - Percent, RACE - Total population - Two or more races,All ages - Number, HISPANIC OR LATINO AND RACE - Total population,All ages - Percent, HISPANIC OR LATINO AND RACE - Total population,18 years and over - Number, HISPANIC OR LATINO AND RACE - Total population,18 years and over - Percent, HISPANIC OR LATINO AND RACE - Total population,All ages - Number, HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),All ages - Percent, HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),18 years and over - Number, HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),18 years and over - Percent, HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),All ages - Number, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,All ages - Percent, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,18 years and over - Number, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,18 years and over - Percent, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,All ages - Number, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - One race,All ages - Percent, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - One race,18 years and over - Number, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - One race,18 years and over - Percent, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - One race,All ages - Number, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - One race - White,All ages - Percent, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - One race - White,18 years and over - Number, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - One race - White,18 years and over - Percent, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - One race - White,All ages - Number, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - One race - Black or African American,All ages - Percent, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - One race - Black or African American,18 years and over - Number, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - One race - Black or African American,18 years and over - Percent, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - One race - Black or African American,All ages - Number, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - One race - American Indian and Alaska Native,All ages - Percent, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - One race - American Indian and Alaska Native,18 years and over - Number, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - One race - American Indian and Alaska Native,18 years and over - Percent, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - One race - American Indian and Alaska Native,All ages - Number, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - One race - Asian,All ages - Percent, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - One race - Asian,18 years and over - Number, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - One race - Asian,18 years and over - Percent, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - One race - Asian,All ages - Number, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - One race - Native Hawaiian and Other Pacific Islander,All ages - Percent, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - One race - Native Hawaiian and Other Pacific Islander,18 years and over - Number, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - One race - Native Hawaiian and Other Pacific Islander,18 years and over - Percent, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - One race - Native Hawaiian and Other Pacific Islander,All ages - Number, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - One race - Some other race,All ages - Percent, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - One race - Some other race,18 years and over - Number, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - One race - Some other race,18 years and over - Percent, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - One race - Some other race,All ages - Number, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,All ages - Percent, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,18 years and over - Number, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,18 years and over - Percent, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races
0500000US01001,1001,"Autauga County, Alabama",43671,100,31177,100,43266,99.1,30931,99.2,35221,80.7,25476,81.7,7473,17.1,5037,16.2,194,0.4,142,0.5,200,0.5,165,0.5,13,0,9,0,165,0.4,102,0.3,405,0.9,246,0.8,43671,100,31177,100,610,1.4,406,1.3,43061,98.6,30771,98.7,42687,97.7,30540,98,34823,79.7,25203,80.8,7428,17,5009,16.1,186,0.4,137,0.4,194,0.4,161,0.5,12,0,9,0,44,0.1,21,0.1,374,0.9,231,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01003,1003,"Baldwin County, Alabama",140415,100,106095,100,138949,99,105147,99.1,122366,87.1,93921,88.5,14444,10.3,9688,9.1,809,0.6,602,0.6,537,0.4,383,0.4,38,0,23,0,755,0.5,530,0.5,1466,1,948,0.9,140415,100,106095,100,2466,1.8,1703,1.6,137949,98.2,104392,98.4,136650,97.3,103529,97.6,120868,86.1,92861,87.5,14357,10.2,9639,9.1,753,0.5,570,0.5,531,0.4,378,0.4,37,0,22,0,104,0.1,59,0.1,1299,0.9,863,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01005,1005,"Barbour County, Alabama",29038,100,21655,100,28826,99.3,21508,99.3,14887,51.3,11762,54.3,13451,46.3,9340,43.1,131,0.5,105,0.5,84,0.3,67,0.3,8,0,6,0,265,0.9,228,1.1,212,0.7,147,0.7,29038,100,21655,100,478,1.6,384,1.8,28560,98.4,21271,98.2,28369,97.7,21139,97.6,14788,50.9,11687,54,13369,46,9284,42.9,119,0.4,97,0.4,83,0.3,66,0.3,6,0,4,0,4,0,1,0,191,0.7,132,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01007,1007,"Bibb County, Alabama",20826,100,15540,100,20719,99.5,15477,99.6,15966,76.7,12108,77.9,4624,22.2,3269,21,49,0.2,41,0.3,17,0.1,13,0.1,2,0,2,0,61,0.3,44,0.3,107,0.5,63,0.4,20826,100,15540,100,210,1,148,1,20616,99,15392,99,20519,98.5,15334,98.7,15870,76.2,12035,77.4,4584,22,3245,20.9,46,0.2,39,0.3,17,0.1,13,0.1,2,0,2,0,0,0,0,0,97,0.5,58,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01009,1009,"Blount County, Alabama",51024,100,38076,100,50505,99,37723,99.1,48512,95.1,36447,95.7,606,1.2,423,1.1,250,0.5,162,0.4,71,0.1,56,0.1,12,0,8,0,1054,2.1,627,1.6,519,1,353,0.9,51024,100,38076,100,2718,5.3,1707,4.5,48306,94.7,36369,95.5,47899,93.9,36075,94.7,46999,92.1,35450,93.1,598,1.2,421,1.1,212,0.4,141,0.4,70,0.1,56,0.1,6,0,2,0,14,0,5,0,407,0.8,294,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01011,1011,"Bullock County, Alabama",11714,100,8656,100,11632,99.3,8592,99.3,2958,25.3,2535,29.3,8564,73.1,5969,69,44,0.4,40,0.5,21,0.2,12,0.1,2,0,2,0,43,0.4,34,0.4,82,0.7,64,0.7,11714,100,8656,100,322,2.7,268,3.1,11392,97.3,8388,96.9,11315,96.6,8328,96.2,2764,23.6,2361,27.3,8486,72.4,5918,68.4,37,0.3,34,0.4,21,0.2,12,0.1,1,0,1,0,6,0.1,2,0,77,0.7,60,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01013,1013,"Butler County, Alabama",21399,100,15645,100,21315,99.6,15602,99.7,12492,58.4,9693,62,8732,40.8,5838,37.3,45,0.2,39,0.2,35,0.2,25,0.2,0,0,0,0,11,0.1,7,0,84,0.4,43,0.3,21399,100,15645,100,143,0.7,111,0.7,21256,99.3,15534,99.3,21182,99,15494,99,12429,58.1,9643,61.6,8671,40.5,5786,37,44,0.2,38,0.2,34,0.2,25,0.2,0,0,0,0,4,0,2,0,74,0.3,40,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01015,1015,"Calhoun County, Alabama",112249,100,85793,100,111168,99,85144,99.2,88537,78.9,69238,80.7,20810,18.5,14530,16.9,445,0.4,344,0.4,633,0.6,512,0.6,76,0.1,59,0.1,667,0.6,461,0.5,1081,1,649,0.8,112249,100,85793,100,1753,1.6,1218,1.4,110496,98.4,84575,98.6,109534,97.6,83982,97.9,87598,78,68570,79.9,20725,18.5,14483,16.9,427,0.4,333,0.4,625,0.6,508,0.6,74,0.1,58,0.1,85,0.1,30,0,962,0.9,593,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01017,1017,"Chambers County, Alabama",36583,100,27566,100,36374,99.4,27428,99.5,22271,60.9,17549,63.7,13943,38.1,9755,35.4,49,0.1,42,0.2,68,0.2,51,0.2,0,0,0,0,43,0.1,31,0.1,209,0.6,138,0.5,36583,100,27566,100,280,0.8,196,0.7,36303,99.2,27370,99.3,36113,98.7,27245,98.8,22111,60.4,17445,63.3,13872,37.9,9703,35.2,49,0.1,42,0.2,68,0.2,51,0.2,0,0,0,0,13,0,4,0,190,0.5,125,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
